testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,text_welcome.stopped,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016891999985091388,0.004443699959665537,3.009105900011491,2.9925833999877796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9926501999725588,3.009105900011491,3.009105900011491,7.385301699978299,space,4.3618630999699235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
fight,0,0,0,,,,,,,,,0,0,0,7,,,,,,,,,,,,,7.394393099995796,,,,,,,,,,,,,7.391936899977736,7.394393099995796,8.392182599985972,8.392219799978193,8.40868649998447,8.892382199992426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
hate,1,1,0,,,,,,,,,0,1,1,2,,,,,,,,,,,,,8.908864500001073,,,,,,,,,,,,,8.895545899984427,8.908864500001073,9.892205899988767,9.892241799971089,9.908858999959193,10.392133899964392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
mean,2,2,0,,,,,,,,,0,2,2,8,,,,,,,,,,,,,10.408811100001913,,,,,,,,,,,,,10.394634999975096,10.408811100001913,11.392173799977172,11.392205099982675,11.408754299976863,11.892037499987055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
fury,3,3,0,,,,,,,,,0,3,3,5,,,,,,,,,,,,,11.908824999991339,,,,,,,,,,,,,11.894882699998561,11.908824999991339,12.892469899961725,12.892514000006486,12.908683100016788,13.392133299959823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
rage,4,4,0,,,,,,,,,0,4,4,3,,,,,,,,,,,,,13.408666200004518,,,,,,,,,,,,,13.394720099982806,13.408666200004518,14.392241999972612,14.392279799969401,14.408614399959333,14.892128199979197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
wrath,5,5,0,,,,,,,,,0,5,5,6,,,,,,,,,,,,,14.908791999972891,,,,,,,,,,,,,14.89475149998907,14.908791999972891,15.891989699972328,15.892023899999913,15.90862369997194,16.39229879999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
mad,6,6,0,,,,,,,,,0,6,6,0,,,,,,,,,,,,,16.4086708999821,,,,,,,,,,,,,16.394518100016285,16.4086708999821,17.39222979999613,17.392277500010096,17.408667999960016,17.89217909995932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
emotion,7,7,0,,,,,,,,,0,7,7,9,,,,,,,,,,,,,17.90871699998388,,,,,,,,,,,,,17.894833499973174,17.90871699998388,18.892170700011775,18.892201200011186,18.908631999976933,19.39199189998908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
temper,8,8,0,,,,,,,,,0,8,8,4,,,,,,,,,,,,,19.408717299986165,,,,,,,,,,,,,19.39441710000392,19.408717299986165,20.392073799972422,20.392116300005,20.40856830001576,20.891969099990092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
fear,9,9,0,,,,,,,,,0,9,9,1,,,,,,,,,,,,,20.908581499999855,,,,,,,,,,,,,20.894670300011057,20.908581499999855,21.89216009998927,21.89221219997853,21.908640999987256,22.392770499980543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,0,0,0,freeze,,,,,,,,,,,,0,0,0,6,,,,,,,,,22.408915399981197,,,,,,,,,,,,,,,,23.392021899984684,23.409661699959543,23.891992899996694,22.40010709996568,22.408915399981197,23.391993600002024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,1,1,0,winter,,,,,,,,,,,,0,1,1,1,,,,,,,,,23.90841959998943,,,,,,,,,,,,,,,,24.892297599988524,24.908647799980827,25.392433499975596,23.89513939997414,23.90841959998943,24.89223860000493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,2,2,0,weather,,,,,,,,,,,,0,2,2,8,,,,,,,,,25.408747899986338,,,,,,,,,,,,,,,,26.39215939998394,26.40859989996534,26.891894900007173,25.39687190001132,25.408747899986338,26.392115900001954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,3,3,0,snow,,,,,,,,,,,,0,3,3,0,,,,,,,,,26.908553199958988,,,,,,,,,,,,,,,,27.892058899975382,27.908460800012108,28.391976499988232,26.894081600010395,26.908553199958988,27.89201840001624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,4,4,0,ice,,,,,,,,,,,,0,4,4,2,,,,,,,,,28.408485499967355,,,,,,,,,,,,,,,,29.39200739999069,29.408421200001612,29.892011899966747,28.39422710001236,28.408485499967355,29.39197180001065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,5,5,0,wet,,,,,,,,,,,,0,5,5,3,,,,,,,,,29.908448299975134,,,,,,,,,,,,,,,,30.892584699962754,30.908441599982325,31.39210960001219,29.896166899998207,29.908448299975134,30.89252910000505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,6,6,0,chilly,,,,,,,,,,,,0,6,6,4,,,,,,,,,31.408651000005193,,,,,,,,,,,,,,,,32.3923669999931,32.40847039996879,32.892228099983186,31.395504299958702,31.408651000005193,32.39228039997397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,7,7,0,shiver,,,,,,,,,,,,0,7,7,7,,,,,,,,,32.908610499987844,,,,,,,,,,,,,,,,33.89202759996988,33.908445800014306,34.39200599998003,32.89529069996206,32.908610499987844,33.891986300004646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,8,8,0,hot,,,,,,,,,,,,0,8,8,9,,,,,,,,,34.40829880000092,,,,,,,,,,,,,,,,35.39207150001312,35.40842589997919,35.89192019996699,34.39456629997585,34.40829880000092,35.3920277999714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,9,9,0,air,,,,,,,,,,,,0,9,9,5,,,,,,,,,35.908375400002114,,,,,,,,,,,,,,,,36.8920911999885,36.9085153999622,37.3919977999758,35.893239600001834,35.908375400002114,36.89206029998604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,0,0,0,,nap,,,,,,,,,,,,,,,0,0,0,6,,,,,37.460396600014064,,,,,,,,,,,,,,,,38.39197799999965,38.408196899981704,38.89192449999973,,,,37.4579980999697,37.460396600014064,38.39193159999559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,1,1,0,,dream,,,,,,,,,,,,,,,0,1,1,3,,,,,38.90836609998951,,,,,,,,,,,,,,,,39.892065199965145,39.90830149996327,40.39156570000341,,,,38.8947923000087,38.90836609998951,39.89201129996218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,2,2,0,,tired,,,,,,,,,,,,,,,0,2,2,4,,,,,40.4083135999972,,,,,,,,,,,,,,,,41.39201790001243,41.40838340000482,41.892019199964125,,,,40.39406769996276,40.4083135999972,41.391969199990854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,3,3,0,,slumber,,,,,,,,,,,,,,,0,3,3,8,,,,,41.908393499965314,,,,,,,,,,,,,,,,42.89211799995974,42.90835689997766,43.392708499974106,,,,41.89577329996973,41.908393499965314,42.89204730000347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
,4,4,0,,blanket,,,,,,,,,,,,,,,0,4,4,7,,,,,43.408423999964725,,,,,,,,,,,,,,,,44.39237069996307,44.40879529999802,44.89204269996844,,,,43.397391100006644,43.408423999964725,44.392300500010606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-19_16h00.14.191,solo_project_drm,,2025.1.1,59.97458277377605,2025-11-19 16h00.27.881503 +0530,
