testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003680200024973601,0.009149899997282773,3.004080199985765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0041981000103988,3.019975400005933,3.019975400005933,5.464443399978336,space,2.4242334999726154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
hate,0,0,0,,,,,,,,,0,0,0,2,,,,,,,,,,,,,5.47689970000647,,,,,,,,,,,,5.474167699983809,5.47689970000647,6.47084189997986,6.470969500020146,6.48709140002029,6.971455599996261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
rage,1,1,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,6.986680399975739,,,,,,,,,,,,6.977348499989603,6.986680399975739,7.971009299973957,7.971077600028366,7.987128200009465,8.471146899973974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
mad,2,2,0,,,,,,,,,0,2,2,0,,,,,,,,,,,,,8.487042299995665,,,,,,,,,,,,8.475334400020074,8.487042299995665,9.471017299976666,9.471124199975748,9.487381100014318,9.971141199988779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
temper,3,3,0,,,,,,,,,0,3,3,4,,,,,,,,,,,,,9.986800000013318,,,,,,,,,,,,9.975426300021354,9.986800000013318,10.971467400027905,10.97157569997944,10.987429499975406,11.47021900000982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
mean,4,4,0,,,,,,,,,0,4,4,8,,,,,,,,,,,,,11.486596299975645,,,,,,,,,,,,11.47436709998874,11.486596299975645,12.470676500000991,12.470737399999052,12.48677369998768,12.970396300021093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
fear,5,5,0,,,,,,,,,0,5,5,1,,,,,,,,,,,,,12.98688320000656,,,,,,,,,,,,12.974411299976055,12.98688320000656,13.97032780002337,13.97040890000062,13.986502600018866,14.470395100011956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
fight,6,6,0,,,,,,,,,0,6,6,7,,,,,,,,,,,,,14.486751799995545,,,,,,,,,,,,14.474420199985616,14.486751799995545,15.470107799977995,15.470159000018612,15.486698399996385,15.97007169999415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
emotion,7,7,0,,,,,,,,,0,7,7,9,,,,,,,,,,,,,15.98666629998479,,,,,,,,,,,,15.972985500004143,15.98666629998479,16.97032239998225,16.97040809999453,16.986355700006243,17.470215199980885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-20_09h39.11.231,solo_project_drm,,2025.1.1,59.939425223140326,2025-11-20 09h39.16.432735 +0530,
