study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test,Reference,old_new,textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test_2.started,Test_Text.started,textbox.started,submit_text.started,test_mouse.started,test_2.stopped,trials_2.textbox.text,trials_2.test_mouse.x,trials_2.test_mouse.y,trials_2.test_mouse.leftButton,trials_2.test_mouse.midButton,trials_2.test_mouse.rightButton,trials_2.test_mouse.time,trials_2.test_mouse.clicked_name,Test_Text.stopped,textbox.stopped,submit_text.stopped,test_mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
poster,0,0,0,1.0266666666666666,1.755345400000806,,,,,,,,,,,,0,0,0,14,,,,,0.01846899998781737,,0.011593599992920645,0.01846899998781737,0.01846899998781737,1.7834022999886656,1.0266666666666666,1.755345400000806,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
cruise,1,1,0,1.0266666666666666,1.8473935999936657,,,,,,,,,,,,0,1,1,11,,,,,1.798578499990981,,1.7876894999935757,1.798578499990981,1.798578499990981,3.6499878999893554,1.0266666666666666,1.8473935999936657,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
keys,2,2,0,1.0266666666666666,0.8115192000113893,,,,,,,,,,,,0,2,2,13,,,,,3.665428799999063,,3.6554690999910235,3.665428799999063,3.665428799999063,4.483394799986854,1.0266666666666666,0.8115192000113893,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
marble,3,3,0,1.0266666666666666,0.6604397000046447,,,,,,,,,,,,0,3,3,3,,,,,4.498790999990888,,4.489718400000129,4.498790999990888,4.498790999990888,5.166398699991987,1.0266666666666666,0.6604397000046447,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
police,4,4,0,1.0266666666666666,0.6641682999907061,,,,,,,,,,,,0,4,4,12,,,,,5.182049199996982,,5.16982559999451,5.182049199996982,5.182049199996982,5.850288599991472,1.0266666666666666,0.6641682999907061,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
laptop,5,5,0,1.0266666666666666,0.647826400003396,,,,,,,,,,,,0,5,5,5,,,,,5.865376699992339,,5.8542028999945614,5.865376699992339,5.865376699992339,6.516892100000405,1.0266666666666666,0.647826400003396,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
pastry,6,6,0,1.0266666666666666,0.615079399998649,,,,,,,,,,,,0,6,6,9,,,,,6.532209799988777,,6.5210645999904955,6.532209799988777,6.532209799988777,7.151202799999737,1.0266666666666666,0.615079399998649,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
book,7,7,0,1.0266666666666666,0.6463931999896886,,,,,,,,,,,,0,7,7,0,,,,,7.165476399997715,,7.154629499986186,7.165476399997715,7.165476399997715,7.816966899990803,1.0266666666666666,0.6463931999896886,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
board,8,8,0,1.0266666666666666,0.562694600012037,,,,,,,,,,,,0,8,8,4,,,,,7.832271999999648,,7.823586200000136,7.832271999999648,7.832271999999648,8.400051599994185,1.0266666666666666,0.562694600012037,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
case,9,9,0,1.0266666666666666,0.5477812000026461,,,,,,,,,,,,0,9,9,10,,,,,8.415319499996258,,8.403954599998542,8.415319499996258,8.415319499996258,8.966606999994838,1.0266666666666666,0.5477812000026461,,,,,,,,,,,,,,,,,,,p3,001,2025-10-16_22h39.16.555,word_priming_exp,,2025.1.1,60.094817602869206,2025-10-16 22h39.22.689896 +0530,
