study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test,Reference,old_new,textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test_2.started,Test_Text.started,textbox.started,submit_text.started,test_mouse.started,test_2.stopped,trials_2.textbox.text,trials_2.test_mouse.x,trials_2.test_mouse.y,trials_2.test_mouse.leftButton,trials_2.test_mouse.midButton,trials_2.test_mouse.rightButton,trials_2.test_mouse.time,trials_2.test_mouse.clicked_name,Test_Text.stopped,textbox.stopped,submit_text.stopped,test_mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
cushion,0,0,0,1.0,3.5792323000059696,,,,,,,,,,,,0,0,0,1,,,,,0.021848799995495938,,0.013685600002645515,0.021848799995495938,0.021848799995495938,3.6077459000080125,1.0,3.5792323000059696,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
chart,1,1,0,1.0,1.189274899996235,,,,,,,,,,,,0,1,1,6,,,,,3.6278642999968724,,3.619972800006508,3.6278642999968724,3.6278642999968724,4.824095899995882,1.0,1.189274899996235,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
keys,2,2,0,1.0,1.222746700004791,,,,,,,,,,,,0,2,2,13,,,,,4.842524399995455,,4.8356346000073245,4.842524399995455,4.842524399995455,6.073898700007703,1.0,1.222746700004791,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
mouse,3,3,0,1.0,1.4656711999996332,,,,,,,,,,,,0,3,3,8,,,,,6.0897166000067955,,6.077571800007718,6.0897166000067955,6.0897166000067955,7.557450499996776,1.0,1.4656711999996332,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
police,4,4,0,1.0,1.6086724999913713,,,,,,,,,,,,0,4,4,12,,,,,7.573647600002005,,7.566157799999928,7.573647600002005,7.573647600002005,9.190192599999136,1.0,1.6086724999913713,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
case,5,5,0,1.0,1.3158109999931185,,,,,,,,,,,,0,5,5,10,,,,,9.20599729999958,,9.192236000002595,9.20599729999958,9.20599729999958,10.52431950000755,1.0,1.3158109999931185,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
board,6,6,0,1.0,1.4597279000008712,,,,,,,,,,,,0,6,6,4,,,,,10.539655200002016,,10.532972200002405,10.539655200002016,10.539655200002016,12.00755370000843,1.0,1.4597279000008712,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
pastry,7,7,0,1.0,1.647475099991425,,,,,,,,,,,,0,7,7,9,,,,,12.022821100006695,,12.011822200001916,12.022821100006695,12.022821100006695,13.67380449999473,1.0,1.647475099991425,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
marble,8,8,0,1.0,0.9475403999967966,,,,,,,,,,,,0,8,8,3,,,,,13.689521599997533,,13.676985400001286,13.689521599997533,13.689521599997533,14.64072589999705,1.0,0.9475403999967966,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
t-shirt,9,9,0,1.0,1.077212000003783,,,,,,,,,,,,0,9,9,7,,,,,14.655995199995232,,14.648294500002521,14.655995199995232,14.655995199995232,15.741175500006648,1.0,1.077212000003783,,,,,,,,,,,,,,,,,,,p1,001,2025-10-16_22h33.12.959,word_priming_exp,,2025.1.1,59.998476039327706,2025-10-16 22h33.18.087737 +0530,
