thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.11416666666666667)],[np.float64(0.4825)],[1],[0],[0],[2.088624100000743],['target'],0,0,0,0,0.034580600000481354,,10,0.026116699998965487,0.034580600000481354,0.034580600000481354,0.025654799999756506,2.1157008000009228,[np.float64(-0.11416666666666667)],[np.float64(0.4825)],[1],[0],[0],[2.088624100000743],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
1,0,1,[np.float64(-0.44166666666666665)],[np.float64(0.315)],[1],[0],[0],[1.239939700000832],['target'],1,0,1,0,2.146716999999626,,10,2.138992200001667,2.146716999999626,2.146716999999626,0.02298250000239932,3.3793518000020413,[np.float64(-0.44166666666666665)],[np.float64(0.315)],[1],[0],[0],[1.239939700000832],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
2,0,2,[np.float64(0.04666666666666667)],[np.float64(0.40166666666666667)],[1],[0],[0],[1.407850600000529],['target'],2,0,2,0,3.395844800001214,,5,3.3906830999985687,3.395844800001214,3.395844800001214,0.01117770000200835,4.799376300001313,[np.float64(0.04666666666666667)],[np.float64(0.40166666666666667)],[1],[0],[0],[1.407850600000529],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
3,0,3,[np.float64(0.3725)],[np.float64(-0.44666666666666666)],[1],[0],[0],[2.2016603000010946],['target'],3,0,3,0,4.8173878000015975,,5,4.812569099998655,4.8173878000015975,4.8173878000015975,0.012725199998385506,7.015037100001791,[np.float64(0.3725)],[np.float64(-0.44666666666666666)],[1],[0],[0],[2.2016603000010946],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
4,0,4,[np.float64(0.07666666666666666)],[np.float64(0.09166666666666666)],[1],[0],[0],[1.615550999998959],['target'],4,0,4,0,7.040136999999959,,5,7.031372800000099,7.040136999999959,7.040136999999959,0.01618100000268896,8.64855770000213,[np.float64(0.07666666666666666)],[np.float64(0.09166666666666666)],[1],[0],[0],[1.615550999998959],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
5,0,5,[np.float64(-0.1375)],[np.float64(-0.32166666666666666)],[1],[0],[0],[1.982181399998808],['target'],5,0,5,0,8.69349560000046,,10,8.681255700001202,8.69349560000046,8.69349560000046,0.03244520000225748,10.664607099999557,[np.float64(-0.1375)],[np.float64(-0.32166666666666666)],[1],[0],[0],[1.982181399998808],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
6,0,6,[np.float64(-0.17916666666666667)],[np.float64(-0.0975)],[1],[0],[0],[2.7268359000008786],['target'],6,0,6,0,10.697740600000543,,10,10.686066199999914,10.697740600000543,10.697740600000543,0.021213500000158092,13.413485699999,[np.float64(-0.17916666666666667)],[np.float64(-0.0975)],[1],[0],[0],[2.7268359000008786],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
7,0,7,[np.float64(0.4241666666666667)],[np.float64(0.5)],[1],[0],[0],[3.129210000002786],['target'],7,0,7,0,13.442853500000638,,10,13.434261499998684,13.442853500000638,13.442853500000638,0.020552299996779766,16.564580599999317,[np.float64(0.4241666666666667)],[np.float64(0.5)],[1],[0],[0],[3.129210000002786],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
8,0,8,[np.float64(-0.4275)],[np.float64(0.41)],[1],[0],[0],[1.7098735999970813],['target'],8,0,8,0,16.59631359999912,,10,16.58746930000052,16.59631359999912,16.59631359999912,0.022630799998296425,18.297768299999007,[np.float64(-0.4275)],[np.float64(0.41)],[1],[0],[0],[1.7098735999970813],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
9,0,9,[np.float64(-0.2791666666666667)],[np.float64(0.4691666666666667)],[1],[0],[0],[1.2068302000006952],['target'],9,0,9,0,18.31240070000058,,5,18.307147100000293,18.31240070000058,18.31240070000058,0.009218800001690397,19.514722100000654,[np.float64(-0.2791666666666667)],[np.float64(0.4691666666666667)],[1],[0],[0],[1.2068302000006952],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
