thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,0,10,[np.float64(-0.25166666666666665)],[np.float64(-0.0016666666666666668)],[1],[0],[0],[1.4289863000012701],['target'],10,0,10,0,19.54146949999995,,10,19.53383340000073,19.54146949999995,19.54146949999995,0.01894909999828087,20.96331260000079,[np.float64(-0.25166666666666665)],[np.float64(-0.0016666666666666668)],[1],[0],[0],[1.4289863000012701],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
11,0,11,[np.float64(-0.48333333333333334)],[np.float64(0.23083333333333333)],[1],[0],[0],[1.3847839999980351],['target'],11,0,11,0,20.98398140000063,,5,20.977544800000032,20.98398140000063,20.98398140000063,0.014062499998544808,22.36314250000214,[np.float64(-0.48333333333333334)],[np.float64(0.23083333333333333)],[1],[0],[0],[1.3847839999980351],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
12,0,12,[np.float64(-0.32916666666666666)],[np.float64(0.14666666666666667)],[1],[0],[0],[1.2828003000031458],['target'],12,0,12,0,22.407167900000786,,10,22.398302099998546,22.407167900000786,22.407167900000786,0.035013600001548184,23.682266200001322,[np.float64(-0.32916666666666666)],[np.float64(0.14666666666666667)],[1],[0],[0],[1.2828003000031458],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
13,0,13,[np.float64(0.44)],[np.float64(-0.195)],[1],[0],[0],[1.603218600001128],['target'],13,0,13,0,23.69909600000028,,5,23.69430619999912,23.69909600000028,23.69909600000028,0.011786699997173855,25.298471599999175,[np.float64(0.44)],[np.float64(-0.195)],[1],[0],[0],[1.603218600001128],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
14,0,14,[np.float64(-0.17166666666666666)],[np.float64(0.1775)],[1],[0],[0],[1.2757146999974793],['target'],14,0,14,0,25.328641700001754,,10,25.321087600001192,25.328641700001754,25.328641700001754,0.022313400000712136,26.597876499999984,[np.float64(-0.17166666666666666)],[np.float64(0.1775)],[1],[0],[0],[1.2757146999974793],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
15,0,15,[np.float64(0.05)],[np.float64(-0.33416666666666667)],[1],[0],[0],[1.6363597999988997],['target'],15,0,15,0,26.61618180000005,,5,26.610173199998826,26.61618180000005,26.61618180000005,0.012042099999234779,28.247529600001144,[np.float64(0.05)],[np.float64(-0.33416666666666667)],[1],[0],[0],[1.6363597999988997],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
16,0,16,[np.float64(-0.34)],[np.float64(-0.049166666666666664)],[1],[0],[0],[1.4707593999992241],['target'],16,0,16,0,28.265433600001415,,5,28.26033350000216,28.265433600001415,28.265433600001415,0.012393299999530427,29.732023299999128,[np.float64(-0.34)],[np.float64(-0.049166666666666664)],[1],[0],[0],[1.4707593999992241],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
17,0,17,[np.float64(-0.22833333333333333)],[np.float64(0.1075)],[1],[0],[0],[1.2473212000004423],['target'],17,0,17,0,29.75433400000111,,5,29.747957999999926,29.75433400000111,29.75433400000111,0.015699100000347244,30.995795499999076,[np.float64(-0.22833333333333333)],[np.float64(0.1075)],[1],[0],[0],[1.2473212000004423],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
18,0,18,[np.float64(0.30916666666666665)],[np.float64(-0.28833333333333333)],[1],[0],[0],[1.7559669000002032],['target'],18,0,18,0,31.012553399999888,,5,31.007278600001882,31.012553399999888,31.012553399999888,0.01137400000152411,32.76379309999902,[np.float64(0.30916666666666665)],[np.float64(-0.28833333333333333)],[1],[0],[0],[1.7559669000002032],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
19,0,19,[np.float64(0.08333333333333333)],[np.float64(0.11833333333333333)],[1],[0],[0],[1.5638693000000785],['target'],19,0,19,0,32.79001050000079,,10,32.782399700001406,32.79001050000079,32.79001050000079,0.018466400000761496,34.34739020000052,[np.float64(0.08333333333333333)],[np.float64(0.11833333333333333)],[1],[0],[0],[1.5638693000000785],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
20,0,20,[np.float64(0.44916666666666666)],[np.float64(0.395)],[1],[0],[0],[1.5196505000021716],['target'],20,0,20,0,34.364709599998605,,5,34.35985929999879,34.364709599998605,34.364709599998605,0.012274700002308236,35.880156300001545,[np.float64(0.44916666666666666)],[np.float64(0.395)],[1],[0],[0],[1.5196505000021716],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
21,0,21,[np.float64(0.4525)],[np.float64(0.3175)],[1],[0],[0],[1.6970657000019855],['target'],21,0,21,0,35.908186799999385,,10,35.90045449999889,35.908186799999385,35.908186799999385,0.020189400001981994,37.598394200002076,[np.float64(0.4525)],[np.float64(0.3175)],[1],[0],[0],[1.6970657000019855],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
22,0,22,[np.float64(-0.19083333333333333)],[np.float64(-0.36083333333333334)],[1],[0],[0],[1.8840158999992127],['target'],22,0,22,0,37.61803249999866,,5,37.611851199999364,37.61803249999866,37.61803249999866,0.013252100001409417,39.496331700000155,[np.float64(-0.19083333333333333)],[np.float64(-0.36083333333333334)],[1],[0],[0],[1.8840158999992127],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
23,0,23,[np.float64(-0.4825)],[np.float64(0.11833333333333333)],[1],[0],[0],[1.708197600000858],['target'],23,0,23,0,39.51259639999989,,5,39.50566379999873,39.51259639999989,39.51259639999989,0.009229800001776312,41.2149129999998,[np.float64(-0.4825)],[np.float64(0.11833333333333333)],[1],[0],[0],[1.708197600000858],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
24,0,24,[np.float64(-0.2425)],[np.float64(0.2791666666666667)],[1],[0],[0],[1.293225400000665],['target'],24,0,24,0,41.243426299999555,,10,41.23565049999888,41.243426299999555,41.243426299999555,0.02052669999829959,42.529414200002066,[np.float64(-0.2425)],[np.float64(0.2791666666666667)],[1],[0],[0],[1.293225400000665],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
25,0,25,[np.float64(0.1725)],[np.float64(0.2966666666666667)],[1],[0],[0],[1.9797381999997015],['target'],25,0,25,0,42.556730700001935,,10,42.54908219999925,42.556730700001935,42.556730700001935,0.019560199998522876,44.52928339999926,[np.float64(0.1725)],[np.float64(0.2966666666666667)],[1],[0],[0],[1.9797381999997015],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
26,0,26,[np.float64(0.30916666666666665)],[np.float64(-0.1275)],[1],[0],[0],[1.4974922000001243],['target'],26,0,26,0,44.556356699999014,,10,44.548173099999985,44.556356699999014,44.556356699999014,0.018779199999698903,46.04675180000049,[np.float64(0.30916666666666665)],[np.float64(-0.1275)],[1],[0],[0],[1.4974922000001243],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
27,0,27,[np.float64(0.15666666666666668)],[np.float64(0.11)],[1],[0],[0],[1.7621656000010262],['target'],27,0,27,0,46.07742409999992,,10,46.068824900001346,46.07742409999992,46.07742409999992,0.021904200002609286,47.8320676000003,[np.float64(0.15666666666666668)],[np.float64(0.11)],[1],[0],[0],[1.7621656000010262],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
28,0,28,[np.float64(0.3)],[np.float64(0.12083333333333333)],[1],[0],[0],[1.9114326999988407],['target'],28,0,28,0,47.85942129999967,,10,47.852327600001445,47.85942129999967,47.85942129999967,0.019918300000426825,49.764848200000415,[np.float64(0.3)],[np.float64(0.12083333333333333)],[1],[0],[0],[1.9114326999988407],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
29,0,29,[np.float64(0.145)],[np.float64(0.07166666666666667)],[1],[0],[0],[1.469775599998684],['target'],29,0,29,0,49.7834045999989,,5,49.778297400000156,49.7834045999989,49.7834045999989,0.013186300002416829,51.248981799999456,[np.float64(0.145)],[np.float64(0.07166666666666667)],[1],[0],[0],[1.469775599998684],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
30,0,30,[np.float64(-0.09)],[np.float64(-0.3641666666666667)],[1],[0],[0],[1.8329593999987992],['target'],30,0,30,0,51.2705085000016,,5,51.26547579999897,51.2705085000016,51.2705085000016,0.016166499997780193,53.09940270000152,[np.float64(-0.09)],[np.float64(-0.3641666666666667)],[1],[0],[0],[1.8329593999987992],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
31,0,31,[np.float64(0.29833333333333334)],[np.float64(0.4508333333333333)],[1],[0],[0],[2.249615699998685],['target'],31,0,31,0,53.11792730000161,,5,53.113121300000785,53.11792730000161,53.11792730000161,0.013376999999309191,55.3636359000011,[np.float64(0.29833333333333334)],[np.float64(0.4508333333333333)],[1],[0],[0],[2.249615699998685],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
32,0,32,[np.float64(0.30583333333333335)],[np.float64(-0.2925)],[1],[0],[0],[1.8727221000008285],['target'],32,0,32,0,55.37952520000181,,5,55.373490000001766,55.37952520000181,55.37952520000181,0.009704100000817562,57.24723180000001,[np.float64(0.30583333333333335)],[np.float64(-0.2925)],[1],[0],[0],[1.8727221000008285],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
33,0,33,[np.float64(-0.043333333333333335)],[np.float64(-0.435)],[1],[0],[0],[2.1930996000010055],['target'],33,0,33,0,57.277436399999715,,10,57.26972730000125,57.277436399999715,57.277436399999715,0.02214770000136923,59.463922700000694,[np.float64(-0.043333333333333335)],[np.float64(-0.435)],[1],[0],[0],[2.1930996000010055],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
34,0,34,[np.float64(-0.03916666666666667)],[np.float64(0.025)],[1],[0],[0],[1.6868809000006877],['target'],34,0,34,0,59.48150259999966,,5,59.476774900002056,59.48150259999966,59.48150259999966,0.012429800000973046,61.164837200001784,[np.float64(-0.03916666666666667)],[np.float64(0.025)],[1],[0],[0],[1.6868809000006877],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
35,0,35,[np.float64(0.10833333333333334)],[np.float64(0.28)],[1],[0],[0],[1.4929560999989917],['target'],35,0,35,0,61.194045899999765,,10,61.18598159999965,61.194045899999765,61.194045899999765,0.020908399998006644,62.67949840000074,[np.float64(0.10833333333333334)],[np.float64(0.28)],[1],[0],[0],[1.4929560999989917],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
36,0,36,[np.float64(0.3975)],[np.float64(-0.3458333333333333)],[1],[0],[0],[2.6647058999988076],['target'],36,0,36,0,62.7031508,,5,62.69789270000183,62.7031508,62.7031508,0.01818460000140476,65.3636656000017,[np.float64(0.3975)],[np.float64(-0.3458333333333333)],[1],[0],[0],[2.6647058999988076],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
37,0,37,[np.float64(-0.3258333333333333)],[np.float64(0.31)],[1],[0],[0],[1.6625733000000764],['target'],37,0,37,0,65.39032289999886,,10,65.38250659999903,65.39032289999886,65.39032289999886,0.018672300000616815,67.04557520000162,[np.float64(-0.3258333333333333)],[np.float64(0.31)],[1],[0],[0],[1.6625733000000764],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
38,0,38,[np.float64(0.38666666666666666)],[np.float64(0.1825)],[1],[0],[0],[1.6879743999998027],['target'],38,0,38,0,67.06313900000168,,5,67.05737289999888,67.06313900000168,67.06313900000168,0.011687400001392234,68.74593069999901,[np.float64(0.38666666666666666)],[np.float64(0.1825)],[1],[0],[0],[1.6879743999998027],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
39,0,39,[np.float64(-0.16833333333333333)],[np.float64(0.5)],[1],[0],[0],[2.9028820999992604],['target'],39,0,39,0,68.76527360000182,,5,68.75890699999945,68.76527360000182,68.76527360000182,0.01278219999949215,71.6622712999997,[np.float64(-0.16833333333333333)],[np.float64(0.5)],[1],[0],[0],[2.9028820999992604],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
40,0,40,[np.float64(-0.30083333333333334)],[np.float64(0.385)],[1],[0],[0],[1.6372468000008666],['target'],40,0,40,0,71.6803390999994,,5,71.67534650000016,71.6803390999994,71.6803390999994,0.012979200000700075,73.3131566000011,[np.float64(-0.30083333333333334)],[np.float64(0.385)],[1],[0],[0],[1.6372468000008666],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
41,0,41,[np.float64(0.46416666666666667)],[np.float64(0.4008333333333333)],[1],[0],[0],[2.370303800002148],['target'],41,0,41,0,73.36825039999894,,10,73.3593249000005,73.36825039999894,73.36825039999894,0.046073100002104184,75.73066810000091,[np.float64(0.46416666666666667)],[np.float64(0.4008333333333333)],[1],[0],[0],[2.370303800002148],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
42,0,42,[np.float64(0.41333333333333333)],[np.float64(0.4575)],[1],[0],[0],[2.098800100000517],['target'],42,0,42,0,75.75533730000097,,5,75.74868140000035,75.75533730000097,75.75533730000097,0.017605799999728333,77.84854869999981,[np.float64(0.41333333333333333)],[np.float64(0.4575)],[1],[0],[0],[2.098800100000517],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
43,0,43,[np.float64(0.4141666666666667)],[np.float64(0.0875)],[1],[0],[0],[1.7991500999996788],['target'],43,0,43,0,77.87156479999976,,5,77.86494490000041,77.87156479999976,77.87156479999976,0.016177199999219738,79.66525420000107,[np.float64(0.4141666666666667)],[np.float64(0.0875)],[1],[0],[0],[1.7991500999996788],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
44,0,44,[np.float64(0.12583333333333332)],[np.float64(0.38416666666666666)],[1],[0],[0],[2.2512238999988767],['target'],44,0,44,0,79.68348139999944,,5,79.67850610000096,79.68348139999944,79.68348139999944,0.012996699999348493,81.93085150000115,[np.float64(0.12583333333333332)],[np.float64(0.38416666666666666)],[1],[0],[0],[2.2512238999988767],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
45,0,45,[np.float64(0.11583333333333333)],[np.float64(0.015833333333333335)],[1],[0],[0],[2.6359532000024046],['target'],45,0,45,0,81.94863009999972,,5,81.94389260000025,81.94863009999972,81.94863009999972,0.012806700000510318,84.58090639999864,[np.float64(0.11583333333333333)],[np.float64(0.015833333333333335)],[1],[0],[0],[2.6359532000024046],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
46,0,46,[np.float64(0.35333333333333333)],[np.float64(-0.4508333333333333)],[1],[0],[0],[3.2506170999986352],['target'],46,0,46,0,84.60003700000016,,5,84.59515770000144,84.60003700000016,84.60003700000016,0.014038299999810988,87.84688140000071,[np.float64(0.35333333333333333)],[np.float64(-0.4508333333333333)],[1],[0],[0],[3.2506170999986352],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
47,0,47,[np.float64(-0.2825)],[np.float64(-0.185)],[1],[0],[0],[2.9851726000015333],['target'],47,0,47,0,87.86569800000143,,5,87.86022570000205,87.86569800000143,87.86569800000143,0.013150499999028398,90.8464453000015,[np.float64(-0.2825)],[np.float64(-0.185)],[1],[0],[0],[2.9851726000015333],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
48,0,48,[np.float64(0.445)],[np.float64(-0.09166666666666666)],[1],[0],[0],[2.035194000000047],['target'],48,0,48,0,90.86696540000048,,5,90.85975390000021,90.86696540000048,90.86696540000048,0.013089000000036322,92.89552399999957,[np.float64(0.445)],[np.float64(-0.09166666666666666)],[1],[0],[0],[2.035194000000047],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
49,0,49,[np.float64(-0.1175)],[np.float64(-0.06166666666666667)],[1],[0],[0],[2.7289257000011276],['target'],49,0,49,0,92.92607040000075,,10,92.91564120000112,92.92607040000075,92.92607040000075,0.02001679999739281,95.64505439999994,[np.float64(-0.1175)],[np.float64(-0.06166666666666667)],[1],[0],[0],[2.7289257000011276],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
50,0,50,[np.float64(0.43333333333333335)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.7238632999979018],['target'],50,0,50,0,95.66195009999865,,5,95.65623380000034,95.66195009999865,95.66195009999865,0.010951700001896825,97.38053750000108,[np.float64(0.43333333333333335)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.7238632999979018],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
51,0,51,[np.float64(0.49916666666666665)],[np.float64(0.4875)],[1],[0],[0],[3.5577800999999454],['target'],51,0,51,0,97.41588680000132,,10,97.40417650000018,97.41588680000132,97.41588680000132,0.023472299999411916,100.96309560000009,[np.float64(0.49916666666666665)],[np.float64(0.4875)],[1],[0],[0],[3.5577800999999454],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
52,0,52,[np.float64(-0.285)],[np.float64(-0.25666666666666665)],[1],[0],[0],[1.8373166999990644],['target'],52,0,52,0,100.9805880999993,,5,100.97584370000186,100.9805880999993,100.9805880999993,0.012494499998865649,102.8141570000007,[np.float64(-0.285)],[np.float64(-0.25666666666666665)],[1],[0],[0],[1.8373166999990644],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
53,0,53,[np.float64(0.4)],[np.float64(-0.11666666666666667)],[1],[0],[0],[2.017650699999649],['target'],53,0,53,0,102.83193580000079,,5,102.82712729999912,102.83193580000079,102.83193580000079,0.012751800000842195,104.84543280000071,[np.float64(0.4)],[np.float64(-0.11666666666666667)],[1],[0],[0],[2.017650699999649],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
54,0,54,[np.float64(0.15916666666666668)],[np.float64(-0.3675)],[1],[0],[0],[2.8609048999969673],['target'],54,0,54,0,104.87573340000017,,10,104.8676775999993,104.87573340000017,104.87573340000017,0.022069299997383496,107.72975660000156,[np.float64(0.15916666666666668)],[np.float64(-0.3675)],[1],[0],[0],[2.8609048999969673],['target'],p4,001,2025-09-30_21h23.54.665,04102024_3.0_Visual Search Task,,2025.1.1,59.923082731736564,2025-09-30 21h24.02.403465 +0530,
