testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,text_welcome.stopped,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001806700020097196,0.004029400006402284,3.0101334000355564,2.9943567999871448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.994482500012964,3.0101334000355564,3.0101334000355564,3.7669988999841735,space,0.7413903000415303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
emotion,0,0,0,,,,,,,,,0,0,0,9,,,,,,,,,,,,,3.7795162000111304,,,,,,,,,,,,,3.776492200035136,3.7795162000111304,4.7772513999952935,4.777303799986839,4.792831300001126,5.276936299982481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
temper,1,1,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,5.292905499984045,,,,,,,,,,,,,5.282088100037072,5.292905499984045,6.277038800006267,6.277104200038593,6.293256200035103,6.777271200029645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
mean,2,2,0,,,,,,,,,0,2,2,8,,,,,,,,,,,,,6.793385100027081,,,,,,,,,,,,,6.782363200036343,6.793385100027081,7.777249200036749,7.77731470001163,7.793516600038856,8.277645500027575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
fear,3,3,0,,,,,,,,,0,3,3,1,,,,,,,,,,,,,8.293508900038432,,,,,,,,,,,,,8.286051100003533,8.293508900038432,9.276204699999653,9.276257399993483,9.292769599996973,9.777288599987514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
mad,4,4,0,,,,,,,,,0,4,4,0,,,,,,,,,,,,,9.793526699999347,,,,,,,,,,,,,9.782613800023682,9.793526699999347,10.777388799993787,10.777449599991087,10.793004300037865,11.27687609998975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
fight,5,5,0,,,,,,,,,0,5,5,7,,,,,,,,,,,,,11.293471199984197,,,,,,,,,,,,,11.281759200035594,11.293471199984197,12.276549600006547,12.276596200012136,12.29353289998835,12.776621200027876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
hate,6,6,0,,,,,,,,,0,6,6,2,,,,,,,,,,,,,12.793104099982884,,,,,,,,,,,,,12.780027800006792,12.793104099982884,13.779213300033007,13.779274600034114,13.793462000030559,14.277071300020907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
wrath,7,7,0,,,,,,,,,0,7,7,6,,,,,,,,,,,,,14.293353500019293,,,,,,,,,,,,,14.281021700007841,14.293353500019293,15.276503000000957,15.276552800030913,15.293127899989486,15.777154000010341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-20_09h47.50.210,solo_project_drm,,2025.1.1,60.149326728211946,2025-11-20 09h47.55.466962 +0530,
