pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.4910457999940263,None,0,0,0,0,,,,,0.011277400000835769,,0.007767200004309416,0.011277400000835769,1.0108932000002824,1.0108932000002824,1.0108932000002824,1.0108932000002824,1.0108932000002824,2.011068500010879,2.011068500010879,2.5257325999991735,x,1,0.4910457999940263,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
150,v,1,1,0,v,1,0.5912551000074018,None,0,1,1,1,,,,,2.531211699999403,,2.5262650000076974,2.531211699999403,3.544798600007198,3.527326900002663,3.527326900002663,3.527326900002663,3.527326900002663,4.527529099999811,4.527529099999811,5.128942700001062,v,1,0.5912551000074018,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
50,c,2,2,0,c,1,0.36327929999970365,None,0,2,2,2,,,,,5.143731100004516,,5.129177800001344,5.143731100004516,6.143741899999441,6.143741899999441,6.143741899999441,6.143741899999441,6.143741899999441,7.144298200000776,7.144298200000776,7.513464500007103,c,1,0.36327929999970365,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-150,z,3,3,0,z,1,0.31077619999996386,None,0,3,3,3,,,,,7.527508800005307,,7.513904700012063,7.527508800005307,8.527740700010327,8.527740700010327,8.527740700010327,8.527740700010327,8.527740700010327,9.52722139999969,9.52722139999969,9.847283299997798,z,1,0.31077619999996386,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-50,x,4,0,1,x,1,0.41339879999577533,None,1,0,4,0,,,,,9.860673800008954,,9.847715399999288,9.860673800008954,10.861053500004346,10.861053500004346,10.861053500004346,10.861053500004346,10.861053500004346,11.861458800005494,11.861458800005494,12.2794361999986,x,1,0.41339879999577533,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
150,v,5,1,1,v,1,0.4121422999887727,None,1,1,5,1,,,,,12.294567000004463,,12.279883200011682,12.294567000004463,13.294995800009929,13.294995800009929,13.294995800009929,13.294995800009929,13.294995800009929,14.294077800004743,14.294077800004743,14.713660599998548,v,1,0.4121422999887727,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
50,c,6,2,1,c,1,0.4228737999947043,None,1,2,6,2,,,,,14.727173799998127,,14.714096499999869,14.727173799998127,15.727191900004982,15.727191900004982,15.727191900004982,15.727191900004982,15.727191900004982,16.727362700010417,16.727362700010417,17.161380300007295,c,1,0.4228737999947043,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-150,z,7,3,1,z,1,0.4191731000028085,None,1,3,7,3,,,,,17.176788299999316,,17.16160760000639,17.176788299999316,18.17750020000676,18.161432100008824,18.161432100008824,18.161432100008824,18.161432100008824,19.17671379999956,19.17671379999956,19.61148160000448,z,1,0.4191731000028085,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-50,x,8,0,2,x,1,0.3310955999913858,None,2,0,8,0,,,,,19.626740699997754,,19.611708199998247,19.626740699997754,20.62821840000106,20.61069660000794,20.61069660000794,20.61069660000794,20.61069660000794,21.610687200009124,21.610687200009124,21.94722100000945,x,1,0.3310955999913858,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
150,v,9,1,2,v,1,0.4750361000042176,None,2,1,9,1,,,,,21.960564799999702,,21.947655900003156,21.960564799999702,22.96071220000158,22.96071220000158,22.96071220000158,22.96071220000158,22.96071220000158,23.96083590001217,23.96083590001217,24.447032700001728,v,1,0.4750361000042176,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
50,c,10,2,2,c,1,0.4787460999941686,None,2,2,10,2,,,,,24.460878700003377,,24.44751680000627,24.460878700003377,25.460223400004907,25.460223400004907,25.460223400004907,25.460223400004907,25.460223400004907,26.460872600000584,26.460872600000584,26.9469919000112,c,1,0.4787460999941686,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-150,z,11,3,2,z,1,0.40042069999617524,None,2,3,11,3,,,,,26.96037860000797,,26.947485900003812,26.96037860000797,27.96054250000452,27.96054250000452,27.96054250000452,27.96054250000452,27.96054250000452,28.960560600011377,28.960560600011377,29.364133299997775,z,1,0.40042069999617524,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-50,x,12,0,3,x,1,0.41831860000093,None,3,0,12,0,,,,,29.377322600004845,,29.364631400007056,29.377322600004845,30.37723410000035,30.37723410000035,30.37723410000035,30.37723410000035,30.37723410000035,31.377289100011694,31.377289100011694,31.81165139999939,x,1,0.41831860000093,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
150,v,13,1,3,v,1,0.36618900000758003,None,3,1,13,1,,,,,31.826639999999315,,31.812039500000537,31.826639999999315,32.82723690000421,32.82723690000421,32.82723690000421,32.82723690000421,32.82723690000421,33.810579900004086,33.810579900004086,34.18055489999824,v,1,0.36618900000758003,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
50,c,14,2,3,c,1,0.33062739999149926,None,3,2,14,2,,,,,34.19405440000992,,34.181071099999826,34.19405440000992,35.19457669999974,35.19457669999974,35.19457669999974,35.19457669999974,35.19457669999974,36.19413030000578,36.19413030000578,36.529794600006426,c,1,0.33062739999149926,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-150,z,15,3,3,z,1,0.25164839999342803,None,3,3,15,3,,,,,36.54452830000082,,36.530264400003944,36.54452830000082,37.5437404000113,37.5437404000113,37.5437404000113,37.5437404000113,37.5437404000113,38.543855600000825,38.543855600000825,38.8150500000047,z,1,0.25164839999342803,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-50,x,16,0,4,x,1,0.2963387000054354,None,4,0,16,0,,,,,38.82764020000468,,38.81551300000865,38.82764020000468,39.827246200002264,39.827246200002264,39.827246200002264,39.827246200002264,39.827246200002264,40.8269888000068,40.8269888000068,41.12917220000236,x,1,0.2963387000054354,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
150,v,17,1,4,v,1,0.3082602000067709,None,4,1,17,1,,,,,41.143990500000655,,41.129588900003,41.143990500000655,42.14374980000139,42.14374980000139,42.14374980000139,42.14374980000139,42.14374980000139,43.14459070000157,43.14459070000157,43.462753800005885,v,1,0.3082602000067709,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
50,c,18,2,4,c,1,0.2826836999884108,None,4,2,18,2,,,,,43.47723720000067,,43.463329600010184,43.47723720000067,44.47689280001214,44.47689280001214,44.47689280001214,44.47689280001214,44.47689280001214,45.47716900000523,45.47716900000523,45.76344000000972,c,1,0.2826836999884108,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-150,z,19,3,4,z,1,0.25541929999599233,None,4,3,19,3,,,,,45.77702790001058,,45.76387480000267,45.77702790001058,46.77717900001153,46.77717900001153,46.77717900001153,46.77717900001153,46.77717900001153,47.776817700010724,47.776817700010724,48.046829400002025,z,1,0.25541929999599233,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
-50,x,20,0,5,x,1,0.26538759999675676,None,5,0,20,0,,,,,48.06013120000716,,48.0475019000005,48.06013120000716,49.06067279999843,49.06067279999843,49.06067279999843,49.06067279999843,49.06067279999843,50.06020340000396,50.06020340000396,50.3290765999991,x,1,0.26538759999675676,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
150,v,21,1,5,v,1,0.4686309000098845,None,5,1,21,1,,,,,50.343627300011576,,50.32947050000075,50.343627300011576,51.3438707000023,51.3438707000023,51.3438707000023,51.3438707000023,51.3438707000023,52.343429300002754,52.343429300002754,52.828536600005464,v,1,0.4686309000098845,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
50,c,22,2,5,c,1,0.3440681000065524,None,5,2,22,2,,,,,52.84331940000993,,52.82894269999815,52.84331940000993,53.843549400000484,53.843549400000484,53.843549400000484,53.843549400000484,53.843549400000484,54.8433675999986,54.8433675999986,55.19453940000676,c,1,0.3440681000065524,None,,,,,participant3,001,2025-10-04_22h03.27.940,11102024_4.0_Motor Sequence Learning,,2025.1.1,59.8509591423867,2025-10-04 22h03.38.741675 +0530,
