testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,6,6,0,ice,,,,,,,,,,,,0,6,6,2,,,,,,,,,33.90197659999831,,,,,,,,,,,,,,,34.885414400021546,34.90176330000395,35.38518350000959,33.89109400002053,33.90197659999831,34.885359600011725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,7,7,0,hot,,,,,,,,,,,,0,7,7,9,,,,,,,,,35.40173590002814,,,,,,,,,,,,,,,36.399625800026115,36.40761370002292,36.8858039000188,35.3883319000015,35.40173590002814,36.39956450002501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,8,8,0,air,,,,,,,,,,,,0,8,8,5,,,,,,,,,36.902167699998245,,,,,,,,,,,,,,,37.885106100002304,37.9015267000068,38.38534999999683,36.89153110003099,36.902167699998245,37.88504429999739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,9,9,0,chilly,,,,,,,,,,,,0,9,9,4,,,,,,,,,38.40144899999723,,,,,,,,,,,,,,,39.38606520002941,39.40182400000049,39.88496410002699,38.38905520003755,38.40144899999723,39.38585040002363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,0,0,0,,awake,,,,,,,,,,,,,,,0,0,0,2,,,,,40.001092999998946,,,,,,,,,,,,,,,40.88594659999944,40.90165870002238,41.385943400033284,,,,39.99761530000251,40.001092999998946,40.885879300010856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,1,1,0,,bed,,,,,,,,,,,,,,,0,1,1,0,,,,,41.401613000023644,,,,,,,,,,,,,,,42.38579040003242,42.402053600002546,42.88525649998337,,,,41.39141009998275,41.401613000023644,42.38572570000542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,2,2,0,,nap,,,,,,,,,,,,,,,0,2,2,6,,,,,42.901295399991795,,,,,,,,,,,,,,,43.88508059998276,43.90152549999766,44.38510040001711,,,,42.888858299993444,42.901295399991795,43.88502089999383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,3,3,0,,blanket,,,,,,,,,,,,,,,0,3,3,7,,,,,44.40137490001507,,,,,,,,,,,,,,,45.38514379999833,45.401395299995784,45.884999500005506,,,,44.389694300014526,44.40137490001507,45.38507339998614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,4,4,0,,slumber,,,,,,,,,,,,,,,0,4,4,8,,,,,45.90176800003974,,,,,,,,,,,,,,,46.88550269999541,46.901711000013165,47.3855166999856,,,,45.8912933000247,45.90176800003974,46.885419700003695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,5,5,0,,dream,,,,,,,,,,,,,,,0,5,5,3,,,,,47.40138090000255,,,,,,,,,,,,,,,48.38539970002603,48.40116479998687,48.88595660001738,,,,47.392210000019986,47.40138090000255,48.3853395000333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,6,6,0,,yawn,,,,,,,,,,,,,,,0,6,6,9,,,,,48.90163839998422,,,,,,,,,,,,,,,49.88548080000328,49.90174689999549,50.38549830002012,,,,48.89112960000057,48.90163839998422,49.8853787999833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,7,7,0,,rest,,,,,,,,,,,,,,,0,7,7,1,,,,,50.40163030003896,,,,,,,,,,,,,,,51.38577759999316,51.401848100009374,51.88508610002464,,,,50.389474700030405,50.40163030003896,51.38566900003934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,8,8,0,,snore,,,,,,,,,,,,,,,0,8,8,5,,,,,51.90127700002631,,,,,,,,,,,,,,,52.8853990000207,52.90144670003792,53.38479290000396,,,,51.88928800000576,51.90127700002631,52.88532539998414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,9,9,0,,tired,,,,,,,,,,,,,,,0,9,9,4,,,,,53.401256899989676,,,,,,,,,,,,,,,54.38514660001965,54.401159500004724,54.8851888999925,,,,53.38846540002851,53.401256899989676,54.38507980003487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.885430000023916,54.901695500011556,54.901695500011556,56.885844800039195,space,1.9766905999858864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.88594120001653,56.90179189998889,56.90179189998889,57.80255520000355,3,0.9003104000003077,None,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.80263749998994,57.818385099992156,57.818385099992156,59.15343700000085,space,1.3343095000018366,None,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,0,0,0,,,cold,n,y,0,1.286594300006982,None,,,,,,,,,,,,,0,0,0,1,59.1690479000099,,,,,,,,,,,,,,,60.46866150002461,60.48463590000756,60.9709290000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.165431800007354,59.1690479000099,59.1690479000099,60.46856780000962,y,0,1.286594300006982,None,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,1,1,0,,,ocean,n,n,1,0.6299657000345178,None,,,,,,,,,,,,,0,1,1,9,60.992637799994554,,,,,,,,,,,,,,,61.63568890001625,61.65088630001992,62.13522160000866,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.98485300003085,60.992637799994554,60.992637799994554,61.6355832000263,n,1,0.6299657000345178,None,62.151530000031926,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,2,2,0,,,bed,y,y,1,0.8347833000007086,None,,,,,,,,,,,,,0,2,2,5,62.151530000031926,,,,,,,,,,,,,,,63.001812500006054,63.01797530002659,63.50168769998709,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.140117900038604,62.151530000031926,62.151530000031926,63.001722100016195,y,1,0.8347833000007086,None,63.517943800019566,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,3,3,0,,,snow,y,y,1,0.44659840001259,None,,,,,,,,,,,,,0,3,3,4,63.517943800019566,,,,,,,,,,,,,,,63.96928110002773,63.98484859999735,64.4684010000201,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5050968999858,63.517943800019566,63.517943800019566,63.969105900032446,y,1,0.44659840001259,None,64.4845367000089,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,4,4,0,,,dream,y,n,0,0.5968871000222862,None,,,,,,,,,,,,,0,4,4,6,64.4845367000089,,,,,,,,,,,,,,,65.08527650003089,65.10119100002339,65.58546139998361,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.47218520002207,64.4845367000089,64.4845367000089,65.08518560003722,n,0,0.5968871000222862,None,65.60115870001027,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,5,5,0,,,guitar,n,n,1,0.6380618000403047,None,,,,,,,,,,,,,0,5,5,8,65.60115870001027,,,,,,,,,,,,,,,66.25262590002967,66.2679424000089,66.75156370003242,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.59108009998454,65.60115870001027,65.60115870001027,66.25247529998887,n,1,0.6380618000403047,None,66.7677480999846,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,6,6,0,,,mad,y,y,1,4.349211200024001,None,,,,,,,,,,,,,0,6,6,3,66.7677480999846,,,,,,,,,,,,,,,71.11884240002837,71.13436419999925,71.61838390002958,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.75495500001125,66.7677480999846,66.7677480999846,71.11870450002607,y,1,4.349211200024001,None,71.63439020002261,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,7,7,0,,,anger,n,y,0,0.8099374999874271,None,,,,,,,,,,,,,0,7,7,0,71.63439020002261,,,,,,,,,,,,,,,72.45236799999839,72.46861859998899,72.95195080002304,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.62218669999857,71.63439020002261,71.63439020002261,72.45224790001521,y,0,0.8099374999874271,None,72.96847070002696,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,8,8,0,,,sleep,n,y,0,1.118008999968879,None,,,,,,,,,,,,,0,8,8,2,72.96847070002696,,,,,,,,,,,,,,,74.10324640001636,74.11801450001076,74.60142800002359,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.95698319998337,72.96847070002696,72.96847070002696,74.1030952000292,y,0,1.118008999968879,None,74.61785750003764,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,9,9,0,,,apple,n,n,1,1.0830149999819696,None,,,,,,,,,,,,,0,9,9,7,74.61785750003764,,,,,,,,,,,,,,,75.70246749999933,75.71768330002669,76.20191300002625,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.60522800002946,74.61785750003764,74.61785750003764,75.70227750000777,n,1,1.0830149999819696,None,76.2180129000335,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2020663000294,76.2180129000335,76.2180129000335,77.7019089999958,space,1.4783722999854945,None,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
