testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001971699995920062,0.004716700001154095,3.0024930000072345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0025597999920137,3.0187579999910668,3.0187579999910668,9.880329700012226,space,6.850306799984537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
fight,0,0,0,,,,,,,,,0,0,0,7,,,,,,,,,,,,,9.897889800020494,,,,,,,,,,,,9.894216799992137,9.897889800020494,10.886541899992153,10.886604400002398,10.90254919999279,11.385853399988264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
fear,1,1,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,11.402310999983456,,,,,,,,,,,,11.389955800026655,11.402310999983456,12.385955500009004,12.386039400007576,12.402038000000175,12.88542750000488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
hate,2,2,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,12.902021099987905,,,,,,,,,,,,12.888875100004952,12.902021099987905,13.885856900014915,13.886011600028723,13.902340400032699,14.385962500004098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
fury,3,3,0,,,,,,,,,0,3,3,5,,,,,,,,,,,,,14.402318499982357,,,,,,,,,,,,14.390574600023683,14.402318499982357,15.386109400016721,15.386189999990165,15.40258580003865,15.885494499991182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
mean,4,4,0,,,,,,,,,0,4,4,8,,,,,,,,,,,,,15.902224700024817,,,,,,,,,,,,15.888902200036682,15.902224700024817,16.885330000019167,16.885391200019512,16.90236880001612,17.386175099993125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
wrath,5,5,0,,,,,,,,,0,5,5,6,,,,,,,,,,,,,17.402471699984744,,,,,,,,,,,,17.391999899991788,17.402471699984744,18.38560909999069,18.385695300006773,18.401944599987473,18.885779300006106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
rage,6,6,0,,,,,,,,,0,6,6,3,,,,,,,,,,,,,18.9023201999953,,,,,,,,,,,,18.890708399994764,18.9023201999953,19.88709239999298,19.887193600006867,19.90243170002941,20.38552000001073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
emotion,7,7,0,,,,,,,,,0,7,7,9,,,,,,,,,,,,,20.402083799999673,,,,,,,,,,,,20.388603000028525,20.402083799999673,21.385237400012556,21.385290200007148,21.401533099997323,21.88508030003868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
mad,8,8,0,,,,,,,,,0,8,8,0,,,,,,,,,,,,,21.901569599984214,,,,,,,,,,,,21.88784029998351,21.901569599984214,22.885645600035787,22.885707699984778,22.90240060002543,23.38616410002578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
temper,9,9,0,,,,,,,,,0,9,9,4,,,,,,,,,,,,,23.40220519999275,,,,,,,,,,,,23.390919200028293,23.40220519999275,24.386066300037783,24.386174999992363,24.40231929998845,24.88620320003247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,0,0,0,snow,,,,,,,,,,,,0,0,0,0,,,,,,,,,24.902058500039857,,,,,,,,,,,,,,,25.885569200036116,25.902303399983793,26.385340000037104,24.897308000014164,24.902058500039857,25.885508300038055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,1,1,0,wet,,,,,,,,,,,,0,1,1,3,,,,,,,,,26.401722999988124,,,,,,,,,,,,,,,27.386098799994215,27.402134700038005,27.88550730003044,26.388159700029064,26.401722999988124,27.386003700026777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,2,2,0,shiver,,,,,,,,,,,,0,2,2,7,,,,,,,,,27.902156200027093,,,,,,,,,,,,,,,28.886311499984004,28.902300200017635,29.387323100003414,27.890365100000054,27.902156200027093,28.886115900008008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,3,3,0,winter,,,,,,,,,,,,0,3,3,1,,,,,,,,,29.401974499982316,,,,,,,,,,,,,,,30.385843600030057,30.401575200026855,30.88550670002587,29.391502399987075,29.401974499982316,30.38575660000788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,4,4,0,weather,,,,,,,,,,,,0,4,4,8,,,,,,,,,30.902088300033938,,,,,,,,,,,,,,,31.885862900002394,31.90253710001707,32.38572090002708,30.890360600023996,30.902088300033938,31.88581539998995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
,5,5,0,freeze,,,,,,,,,,,,0,5,5,6,,,,,,,,,32.40208620001795,,,,,,,,,,,,,,,33.38579100003699,33.4021567000309,33.88614309998229,32.3894284000271,32.40208620001795,33.3857149000396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-20_09h43.36.246,solo_project_drm,,2025.1.1,60.23751651291027,2025-11-20 09h43.43.194351 +0530,
