testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,text_welcome.stopped,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018196000019088387,0.004761000047437847,3.0063503000419587,2.9903413000283763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.990402700030245,3.0063503000419587,3.0063503000419587,21.66078400000697,space,18.623824700014666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
fury,0,0,0,,,,,,,,,0,0,0,5,,,,,,,,,,,,,21.67672880005557,,,,,,,,,,,,,21.673208100022748,21.67672880005557,22.672348300053272,22.672377700044308,22.689025500032585,23.172957100032363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
mad,1,1,0,,,,,,,,,0,1,1,0,,,,,,,,,,,,,23.18942050001351,,,,,,,,,,,,,23.17716510000173,23.18942050001351,24.172624700004235,24.172679300012533,24.188989200047217,24.67263810004806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
hate,2,2,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,24.689408000034746,,,,,,,,,,,,,24.674415500019677,24.689408000034746,25.672299200028647,25.672332300047856,25.689155200030655,26.172761300054844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
fear,3,3,0,,,,,,,,,0,3,3,1,,,,,,,,,,,,,26.18923670001095,,,,,,,,,,,,,26.176163900003303,26.18923670001095,27.17251770000439,27.17258180002682,27.189160500012804,27.67242720001377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
mean,4,4,0,,,,,,,,,0,4,4,8,,,,,,,,,,,,,27.68920550000621,,,,,,,,,,,,,27.674718499998562,27.68920550000621,28.673026200034656,28.673063200025354,28.68970210000407,29.172944400052074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
fight,5,5,0,,,,,,,,,0,5,5,7,,,,,,,,,,,,,29.189151099999435,,,,,,,,,,,,,29.17768880003132,29.189151099999435,30.172478100052103,30.17256770003587,30.189470700046513,30.672589600028004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
emotion,6,6,0,,,,,,,,,0,6,6,9,,,,,,,,,,,,,30.68921219999902,,,,,,,,,,,,,30.675716700032353,30.68921219999902,31.672359300020617,31.672391500032973,31.68894670001464,32.17304390005302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
rage,7,7,0,,,,,,,,,0,7,7,3,,,,,,,,,,,,,32.18921590002719,,,,,,,,,,,,,32.17728010000428,32.18921590002719,33.172316000040155,33.17237020004541,33.18896350002615,33.672032200032845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
wrath,8,8,0,,,,,,,,,0,8,8,6,,,,,,,,,,,,,33.68866500002332,,,,,,,,,,,,,33.67369000002509,33.68866500002332,34.67204400000628,34.67207170004258,34.68863640003838,35.17283870000392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
temper,9,9,0,,,,,,,,,0,9,9,4,,,,,,,,,,,,,35.18930690002162,,,,,,,,,,,,,35.17743470001733,35.18930690002162,36.17267710005399,36.172740300011355,36.18939650000539,36.672139700036496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
,0,0,0,ice,,,,,,,,,,,,0,0,0,2,,,,,,,,,36.688599200046156,,,,,,,,,,,,,,,,37.67231690004701,37.689186400035396,38.17254749999847,36.67828290001489,36.688599200046156,37.67228230001638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
,1,1,0,shiver,,,,,,,,,,,,0,1,1,7,,,,,,,,,38.188985500019044,,,,,,,,,,,,,,,,39.1725314000505,39.1893498999998,39.67186640005093,38.17754699999932,38.188985500019044,39.172449000005145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
,2,2,0,snow,,,,,,,,,,,,0,2,2,0,,,,,,,,,39.688444400031585,,,,,,,,,,,,,,,,40.672703200019896,40.6886516000377,41.17276860005222,39.673093700024765,39.688444400031585,40.67263270000694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
,3,3,0,weather,,,,,,,,,,,,0,3,3,8,,,,,,,,,41.18884539999999,,,,,,,,,,,,,,,,42.172911200032104,42.18917390005663,42.672160500020254,41.17713360005291,41.18884539999999,42.172845100052655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-19_16h02.52.350,solo_project_drm,,2025.1.1,60.2094808296805,2025-11-19 16h03.36.757816 +0530,
