testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003076600027270615,0.02209969999967143,3.007518600032199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0077230000169948,3.0241918000392616,3.0241918000392616,7.496702400036156,space,4.449566299968865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
fury,0,0,0,,,,,,,,,0,0,0,5,,,,,,,,,,,,,7.511314800009131,,,,,,,,,,,,7.507803100044839,7.511314800009131,8.507945800025482,8.508025000046473,8.523815200023819,9.00831120001385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
fight,1,1,0,,,,,,,,,0,1,1,7,,,,,,,,,,,,,9.024474700039718,,,,,,,,,,,,9.012858800007962,9.024474700039718,10.008960700011812,10.009045400016475,10.024825300031807,10.509354300040286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
temper,2,2,0,,,,,,,,,0,2,2,4,,,,,,,,,,,,,10.524360500043258,,,,,,,,,,,,10.514054300030693,10.524360500043258,11.508326600014698,11.508409500005655,11.524968300014734,12.007605799997691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
emotion,3,3,0,,,,,,,,,0,3,3,9,,,,,,,,,,,,,12.023480400035623,,,,,,,,,,,,12.01231140003074,12.023480400035623,13.007934599998407,13.00803550001001,13.02395040000556,13.507417800021358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
rage,4,4,0,,,,,,,,,0,4,4,3,,,,,,,,,,,,,13.522957900015172,,,,,,,,,,,,13.512238900002558,13.522957900015172,14.507966300006956,14.508052700024564,14.52485180000076,15.00776649999898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
mad,5,5,0,,,,,,,,,0,5,5,0,,,,,,,,,,,,,15.023865099996328,,,,,,,,,,,,15.01268370001344,15.023865099996328,16.008589400036726,16.008677000005264,16.024825700034853,16.508371500007343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
hate,6,6,0,,,,,,,,,0,6,6,2,,,,,,,,,,,,,16.52417059999425,,,,,,,,,,,,16.513353200047277,16.52417059999425,17.508056799997576,17.508143500017468,17.523766199999955,18.007279700017534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
fear,7,7,0,,,,,,,,,0,7,7,1,,,,,,,,,,,,,18.02413820003858,,,,,,,,,,,,18.01082680001855,18.02413820003858,19.007896499999333,19.007982000010088,19.022895300004166,19.507094400003552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-19_17h00.13.848,solo_project_drm,,2025.1.1,59.81827209140924,2025-11-19 17h02.22.696517 +0530,
