thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.37666666666666665)],[np.float64(0.20083333333333334)],[1],[0],[0],[3.635474200000317],['target'],0,0,0,0,0.023866899999120506,,5,0.015691900000092573,0.023866899999120506,0.023866899999120506,0.015219900000374764,3.651699000001827,[np.float64(0.37666666666666665)],[np.float64(0.20083333333333334)],[1],[0],[0],[3.635474200000317],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
1,0,1,[np.float64(0.1925)],[np.float64(-0.45416666666666666)],[1],[0],[0],[2.92595209999854],['target'],1,0,1,0,3.676972900000692,,10,3.6696389999997336,3.676972900000692,3.676972900000692,0.01784810000026482,6.596911500000715,[np.float64(0.1925)],[np.float64(-0.45416666666666666)],[1],[0],[0],[2.92595209999854],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
2,0,2,[np.float64(0.2525)],[np.float64(0.10583333333333333)],[1],[0],[0],[2.0027597000007518],['target'],2,0,2,0,6.61770709999837,,5,6.61070810000092,6.61770709999837,6.61770709999837,0.013456500000756932,8.61436749999848,[np.float64(0.2525)],[np.float64(0.10583333333333333)],[1],[0],[0],[2.0027597000007518],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
3,0,3,[np.float64(-0.0425)],[np.float64(-0.35583333333333333)],[1],[0],[0],[2.3781463999985135],['target'],3,0,3,0,8.646040700001322,,10,8.63488420000067,8.646040700001322,8.646040700001322,0.02033099999971455,11.013915100000304,[np.float64(-0.0425)],[np.float64(-0.35583333333333333)],[1],[0],[0],[2.3781463999985135],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
4,0,4,[np.float64(-0.255)],[np.float64(-0.4141666666666667)],[1],[0],[0],[2.528329600001598],['target'],4,0,4,0,11.041483199998765,,10,11.034385399998428,11.041483199998765,11.041483199998765,0.020231000002240762,13.563998300000094,[np.float64(-0.255)],[np.float64(-0.4141666666666667)],[1],[0],[0],[2.528329600001598],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
5,0,5,[np.float64(-0.25666666666666665)],[np.float64(0.46166666666666667)],[1],[0],[0],[2.166641799998615],['target'],5,0,5,0,13.606426700000156,,10,13.59511140000177,13.606426700000156,13.606426700000156,0.0308100000002014,15.76277409999966,[np.float64(-0.25666666666666665)],[np.float64(0.46166666666666667)],[1],[0],[0],[2.166641799998615],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
6,0,6,[np.float64(-0.16)],[np.float64(0.41083333333333333)],[1],[0],[0],[1.705437399999937],['target'],6,0,6,0,15.779736200001935,,5,15.774715899999137,15.779736200001935,15.779736200001935,0.011733499999536434,17.48123729999861,[np.float64(-0.16)],[np.float64(0.41083333333333333)],[1],[0],[0],[1.705437399999937],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
7,0,7,[np.float64(-0.09)],[np.float64(0.3025)],[1],[0],[0],[1.5679098000000522],['target'],7,0,7,0,17.50010100000145,,5,17.49486099999922,17.50010100000145,17.50010100000145,0.01330220000090776,19.06406860000061,[np.float64(-0.09)],[np.float64(0.3025)],[1],[0],[0],[1.5679098000000522],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
8,0,8,[np.float64(-0.21333333333333335)],[np.float64(-0.1325)],[1],[0],[0],[1.8346229999988282],['target'],8,0,8,0,19.08431990000099,,5,19.077571900001203,19.08431990000099,19.08431990000099,0.01323489999776939,20.913140299999213,[np.float64(-0.21333333333333335)],[np.float64(-0.1325)],[1],[0],[0],[1.8346229999988282],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
9,0,9,[np.float64(0.4008333333333333)],[np.float64(-0.07833333333333334)],[1],[0],[0],[2.1492619999989984],['target'],9,0,9,0,20.938354099998833,,5,20.93055699999968,20.938354099998833,20.938354099998833,0.017172700001538033,23.08077090000006,[np.float64(0.4008333333333333)],[np.float64(-0.07833333333333334)],[1],[0],[0],[2.1492619999989984],['target'],p1,001,2025-09-30_21h01.25.504,04102024_3.0_Visual Search Task,,2025.1.1,60.10131880246621,2025-09-30 21h01.43.222909 +0530,
