study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test,Reference,old_new,textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test_2.started,Test_Text.started,textbox.started,submit_text.started,test_mouse.started,test_2.stopped,trials_2.textbox.text,trials_2.test_mouse.x,trials_2.test_mouse.y,trials_2.test_mouse.leftButton,trials_2.test_mouse.midButton,trials_2.test_mouse.rightButton,trials_2.test_mouse.time,trials_2.test_mouse.clicked_name,Test_Text.stopped,textbox.stopped,submit_text.stopped,test_mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
keys,0,0,0,1.0433333333333332,6.126859099997091,,,,,,,,,,,,0,0,0,13,,,,,0.015027599991299212,,0.009215999991283752,0.015027599991299212,0.015027599991299212,6.150648499999079,1.0433333333333332,6.126859099997091,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
phone,1,1,0,1.0433333333333332,3.190382899992983,,,,,,,,,,,,0,1,1,2,,,,,6.169886599993333,,6.161376499992912,6.169886599993333,6.169886599993333,9.367729599995073,1.0433333333333332,3.190382899992983,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
cruise,2,2,0,1.0433333333333332,2.3765642999933334,,,,,,,,,,,,0,2,2,11,,,,,9.382469599993783,,9.374465899993083,9.382469599993783,9.382469599993783,11.76703189998807,1.0433333333333332,2.3765642999933334,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
board,3,3,0,1.0433333333333332,1.62670259999868,,,,,,,,,,,,0,3,3,4,,,,,11.782667699997546,,11.774038199990173,11.782667699997546,11.782667699997546,13.41723209999327,1.0433333333333332,1.62670259999868,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
cushion,4,4,0,1.0433333333333332,1.6967078000016045,,,,,,,,,,,,0,4,4,1,,,,,13.43230789998779,,13.42122350000136,13.43230789998779,13.43230789998779,15.134379700000864,1.0433333333333332,1.6967078000016045,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
pastry,5,5,0,1.0433333333333332,1.913080500002252,,,,,,,,,,,,0,5,5,9,,,,,15.149242399987997,,15.137900199988508,15.149242399987997,15.149242399987997,17.067181399994297,1.0433333333333332,1.913080500002252,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
laptop,6,6,0,1.0433333333333332,1.5971814000076847,,,,,,,,,,,,0,6,6,5,,,,,17.082284999996773,,17.07077209999261,17.082284999996773,17.082284999996773,18.68408589999308,1.0433333333333332,1.5971814000076847,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
poster,7,7,0,1.0433333333333332,1.7804270000051474,,,,,,,,,,,,0,7,7,14,,,,,18.69901799999934,,18.688631799988798,18.69901799999934,18.69901799999934,20.48441499999899,1.0433333333333332,1.7804270000051474,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
police,8,8,0,1.0433333333333332,1.6621034999989206,,,,,,,,,,,,0,8,8,12,,,,,20.499221499994746,,20.489141400001245,20.499221499994746,20.499221499994746,22.167207099992083,1.0433333333333332,1.6621034999989206,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
t-shirt,9,9,0,1.0433333333333332,1.5459734000032768,,,,,,,,,,,,0,9,9,7,,,,,22.18260729999747,,22.173874499989324,22.18260729999747,22.18260729999747,23.734189399998286,1.0433333333333332,1.5459734000032768,,,,,,,,,,,,,,,,,,,p4,001,2025-10-16_22h41.19.665,word_priming_exp,,2025.1.1,60.228373948436214,2025-10-16 22h41.53.120270 +0530,
