thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.4166666666666667)],[np.float64(0.41583333333333333)],[1],[0],[0],[2.2554331999999704],['target'],0,0,0,0,0.023738600000797305,,5,0.017341000002488727,0.023738600000797305,0.023738600000797305,0.016987999999400927,2.273215799999889,[np.float64(0.4166666666666667)],[np.float64(0.41583333333333333)],[1],[0],[0],[2.2554331999999704],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
1,0,1,[np.float64(0.4666666666666667)],[np.float64(0.45666666666666667)],[1],[0],[0],[1.474035700000968],['target'],1,0,1,0,2.2871140000024752,,5,2.28217670000231,2.2871140000024752,2.2871140000024752,0.008807400001387578,3.757134200001019,[np.float64(0.4666666666666667)],[np.float64(0.45666666666666667)],[1],[0],[0],[1.474035700000968],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
2,0,2,[np.float64(0.22083333333333333)],[np.float64(0.0475)],[1],[0],[0],[1.8945088000000396],['target'],2,0,2,0,3.787377700002253,,10,3.7776878000004217,3.787377700002253,3.787377700002253,0.02032560000225203,5.6730647000003955,[np.float64(0.22083333333333333)],[np.float64(0.0475)],[1],[0],[0],[1.8945088000000396],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
3,0,3,[np.float64(-0.013333333333333334)],[np.float64(0.43916666666666665)],[1],[0],[0],[6.330462499998248],['target'],3,0,3,0,5.699915600001987,,10,5.692126300000382,5.699915600001987,5.699915600001987,0.018870200001401827,12.023544300001959,[np.float64(-0.013333333333333334)],[np.float64(0.43916666666666665)],[1],[0],[0],[6.330462499998248],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
4,0,4,[np.float64(-0.3283333333333333)],[np.float64(0.21666666666666667)],[1],[0],[0],[2.48110970000198],['target'],4,0,4,0,12.051289099999849,,10,12.043622900000628,12.051289099999849,12.051289099999849,0.019886199999746168,14.527066400001786,[np.float64(-0.3283333333333333)],[np.float64(0.21666666666666667)],[1],[0],[0],[2.48110970000198],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
5,0,5,[np.float64(0.43166666666666664)],[np.float64(0.10083333333333333)],[1],[0],[0],[3.129078899997694],['target'],5,0,5,0,14.553035799999634,,5,14.544214600002306,14.553035799999634,14.553035799999634,0.01687330000277143,17.674268000002485,[np.float64(0.43166666666666664)],[np.float64(0.10083333333333333)],[1],[0],[0],[3.129078899997694],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
6,0,6,[np.float64(0.44666666666666666)],[np.float64(-0.050833333333333335)],[1],[0],[0],[2.9015222000016365],['target'],6,0,6,0,17.71740950000094,,10,17.704962100000557,17.71740950000094,17.71740950000094,0.03037140000014915,20.607498100001976,[np.float64(0.44666666666666666)],[np.float64(-0.050833333333333335)],[1],[0],[0],[2.9015222000016365],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
7,0,7,[np.float64(0.020833333333333332)],[np.float64(-0.14)],[1],[0],[0],[2.3696294000001217],['target'],7,0,7,0,20.625973800000793,,5,20.621088900003087,20.625973800000793,20.625973800000793,0.01333149999845773,22.99178050000046,[np.float64(0.020833333333333332)],[np.float64(-0.14)],[1],[0],[0],[2.3696294000001217],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
8,0,8,[np.float64(-0.5175)],[np.float64(0.3125)],[1],[0],[0],[4.388769599998341],['target'],8,0,8,0,23.031172900002275,,5,23.016708800001652,23.031172900002275,23.031172900002275,0.0246908999979496,27.406109300001845,[np.float64(-0.5175)],[np.float64(0.3125)],[1],[0],[0],[4.388769599998341],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
9,0,9,[np.float64(-0.44916666666666666)],[np.float64(0.32)],[1],[0],[0],[1.7533737999983714],['target'],9,0,9,0,27.465996500002802,,10,27.452373300002364,27.465996500002802,27.465996500002802,0.04619920000186539,29.206572900002357,[np.float64(-0.44916666666666666)],[np.float64(0.32)],[1],[0],[0],[1.7533737999983714],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
10,0,10,[np.float64(-0.29833333333333334)],[np.float64(0.2941666666666667)],[1],[0],[0],[3.3250324000000546],['target'],10,0,10,0,29.23881370000163,,10,29.229726700003084,29.23881370000163,29.23881370000163,0.02267809999830206,32.55518330000268,[np.float64(-0.29833333333333334)],[np.float64(0.2941666666666667)],[1],[0],[0],[3.3250324000000546],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
11,0,11,[np.float64(-0.12416666666666666)],[np.float64(0.3725)],[1],[0],[0],[4.222279000001436],['target'],11,0,11,0,32.57210340000165,,5,32.56564150000122,32.57210340000165,32.57210340000165,0.010209200001554564,36.788482800002384,[np.float64(-0.12416666666666666)],[np.float64(0.3725)],[1],[0],[0],[4.222279000001436],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
12,0,12,[np.float64(-0.4766666666666667)],[np.float64(0.3525)],[1],[0],[0],[3.84256109999842],['target'],12,0,12,0,36.822541000001365,,10,36.813292400001956,36.822541000001365,36.822541000001365,0.02466690000073868,40.65686000000278,[np.float64(-0.4766666666666667)],[np.float64(0.3525)],[1],[0],[0],[3.84256109999842],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
13,0,13,[np.float64(0.005833333333333334)],[np.float64(-0.4116666666666667)],[1],[0],[0],[5.494199699998717],['target'],13,0,13,0,40.68660540000201,,10,40.67824140000084,40.68660540000201,40.68660540000201,0.021099800000229152,46.1738191000004,[np.float64(0.005833333333333334)],[np.float64(-0.4116666666666667)],[1],[0],[0],[5.494199699998717],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
14,0,14,[np.float64(0.31583333333333335)],[np.float64(-0.4766666666666667)],[1],[0],[0],[6.310557099997823],[None],14,0,14,0,46.203932800002804,,10,46.195408400002634,46.203932800002804,46.203932800002804,0.021306999999069376,52.506859400000394,[np.float64(0.31583333333333335)],[np.float64(-0.4766666666666667)],[1],[0],[0],[6.310557099997823],[None],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
15,0,15,[np.float64(-0.4583333333333333)],[np.float64(-0.31916666666666665)],[1],[0],[0],[3.0376371999991534],['target'],15,0,15,0,52.524808300000586,,5,52.51818550000098,52.524808300000586,52.524808300000586,0.010944000001472887,55.556636100001924,[np.float64(-0.4583333333333333)],[np.float64(-0.31916666666666665)],[1],[0],[0],[3.0376371999991534],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
16,0,16,[np.float64(-0.16666666666666666)],[np.float64(0.10416666666666667)],[1],[0],[0],[2.389792899997701],['target'],16,0,16,0,55.5733429000029,,5,55.56793839999955,55.5733429000029,55.5733429000029,0.011081799999374198,57.958793500001775,[np.float64(-0.16666666666666666)],[np.float64(0.10416666666666667)],[1],[0],[0],[2.389792899997701],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
17,0,17,[np.float64(-0.49166666666666664)],[np.float64(-0.4741666666666667)],[1],[0],[0],[4.463599499998963],['target'],17,0,17,0,58.00673980000283,,10,57.992621500001405,58.00673980000283,58.00673980000283,0.033619800000451505,62.45680850000281,[np.float64(-0.49166666666666664)],[np.float64(-0.4741666666666667)],[1],[0],[0],[4.463599499998963],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
18,0,18,[np.float64(-0.051666666666666666)],[np.float64(-0.034166666666666665)],[1],[0],[0],[2.928375200001028],['target'],18,0,18,0,62.485411400000885,,10,62.47676990000036,62.485411400000885,62.485411400000885,0.019658600002003368,65.40598570000293,[np.float64(-0.051666666666666666)],[np.float64(-0.034166666666666665)],[1],[0],[0],[2.928375200001028],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
19,0,19,[np.float64(0.04583333333333333)],[np.float64(0.44666666666666666)],[1],[0],[0],[3.663171699998202],['target'],19,0,19,0,65.43383209999956,,10,65.42535320000025,65.43383209999956,65.43383209999956,0.019167800001014257,69.08961560000171,[np.float64(0.04583333333333333)],[np.float64(0.44666666666666666)],[1],[0],[0],[3.663171699998202],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
20,0,20,[np.float64(-0.47)],[np.float64(0.3958333333333333)],[1],[0],[0],[1.855206399999588],['target'],20,0,20,0,69.1059813000029,,5,69.1005253000003,69.1059813000029,69.1059813000029,0.010709400001360336,70.9567014000022,[np.float64(-0.47)],[np.float64(0.3958333333333333)],[1],[0],[0],[1.855206399999588],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
21,0,21,[np.float64(-0.325)],[np.float64(-0.2658333333333333)],[1],[0],[0],[4.061153700000432],['target'],21,0,21,0,70.98615190000055,,5,70.9759464000017,70.98615190000055,70.98615190000055,0.018998200001078658,75.0376737000006,[np.float64(-0.325)],[np.float64(-0.2658333333333333)],[1],[0],[0],[4.061153700000432],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
22,0,22,[np.float64(0.013333333333333334)],[np.float64(0.4575)],[1],[0],[0],[10.466321399999288],['target'],22,0,22,0,75.06562550000308,,10,75.0548646999996,75.06562550000308,75.06562550000308,0.017090499997721054,85.52247750000242,[np.float64(0.013333333333333334)],[np.float64(0.4575)],[1],[0],[0],[10.466321399999288],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
23,0,23,[np.float64(0.09416666666666666)],[np.float64(0.35)],[1],[0],[0],[5.595868500000506],['target'],23,0,23,0,85.55143300000054,,10,85.54234290000022,85.55143300000054,85.55143300000054,0.019523499999195337,91.13909129999956,[np.float64(0.09416666666666666)],[np.float64(0.35)],[1],[0],[0],[5.595868500000506],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
24,0,24,[np.float64(-0.03833333333333333)],[np.float64(-0.19083333333333333)],[1],[0],[0],[4.372115099999064],['target'],24,0,24,0,91.15462380000099,,5,91.14918750000288,91.15462380000099,91.15462380000099,0.009909999997034902,95.52261170000202,[np.float64(-0.03833333333333333)],[np.float64(-0.19083333333333333)],[1],[0],[0],[4.372115099999064],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
25,0,25,[np.float64(-0.03833333333333333)],[np.float64(-0.19083333333333333)],[1],[0],[0],[1.1363436999999976],[None],25,0,25,0,95.54121000000305,,5,95.53603690000091,95.54121000000305,95.54121000000305,0.013177299999370007,96.67338430000018,[np.float64(-0.03833333333333333)],[np.float64(-0.19083333333333333)],[1],[0],[0],[1.1363436999999976],[None],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
26,0,26,[np.float64(-0.041666666666666664)],[np.float64(-0.14583333333333334)],[1],[0],[0],[3.698412500001723],['target'],26,0,26,0,96.69982210000308,,5,96.6909983000005,96.69982210000308,96.69982210000308,0.017269500000111293,100.39054690000194,[np.float64(-0.041666666666666664)],[np.float64(-0.14583333333333334)],[1],[0],[0],[3.698412500001723],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
27,0,27,[np.float64(0.25166666666666665)],[np.float64(0.25666666666666665)],[1],[0],[0],[3.1338413000012224],['target'],27,0,27,0,100.40959190000285,,5,100.40423820000069,100.40959190000285,100.40959190000285,0.013339799999812385,103.53926070000307,[np.float64(0.25166666666666665)],[np.float64(0.25666666666666665)],[1],[0],[0],[3.1338413000012224],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
28,0,28,[np.float64(0.43083333333333335)],[np.float64(-0.2325)],[1],[0],[0],[3.5495965000009164],['target'],28,0,28,0,103.56351890000224,,5,103.55577679999988,103.56351890000224,103.56351890000224,0.016288799997710157,107.10629429999972,[np.float64(0.43083333333333335)],[np.float64(-0.2325)],[1],[0],[0],[3.5495965000009164],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
29,0,29,[np.float64(-0.028333333333333332)],[np.float64(0.21333333333333335)],[1],[0],[0],[5.080496600003244],['target'],29,0,29,0,107.1322712000001,,5,107.12369430000035,107.1322712000001,107.1322712000001,0.0170771999983117,112.20522580000033,[np.float64(-0.028333333333333332)],[np.float64(0.21333333333333335)],[1],[0],[0],[5.080496600003244],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
30,0,30,[np.float64(0.38)],[np.float64(0.10583333333333333)],[1],[0],[0],[2.978800400000182],['target'],30,0,30,0,112.23438270000042,,10,112.22580160000143,112.23438270000042,112.23438270000042,0.020208900001307484,115.20569869999963,[np.float64(0.38)],[np.float64(0.10583333333333333)],[1],[0],[0],[2.978800400000182],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
31,0,31,[np.float64(0.18833333333333332)],[np.float64(-0.10083333333333333)],[1],[0],[0],[2.863212800002657],['target'],31,0,31,0,115.23463330000232,,10,115.22515250000288,115.23463330000232,115.23463330000232,0.01924429999780841,118.08965430000171,[np.float64(0.18833333333333332)],[np.float64(-0.10083333333333333)],[1],[0],[0],[2.863212800002657],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
32,0,32,[np.float64(0.35083333333333333)],[np.float64(0.3883333333333333)],[1],[0],[0],[4.000208399997064],['target'],32,0,32,0,118.11414210000294,,5,118.10635700000057,118.11414210000294,118.11414210000294,0.016402299999754177,122.10766750000039,[np.float64(0.35083333333333333)],[np.float64(0.3883333333333333)],[1],[0],[0],[4.000208399997064],['target'],p5,001,2025-09-30_21h32.52.571,04102024_3.0_Visual Search Task,,2025.1.1,59.611274877215706,2025-09-30 21h33.20.252144 +0530,
