testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,text_welcome.stopped,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018827999592758715,0.0050814999849535525,3.010627499956172,2.994394099980127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9944366999552585,3.010627499956172,3.010627499956172,4.18225169996731,space,1.137200600001961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
hate,0,0,0,,,,,,,,,0,0,0,2,,,,,,,,,,,,,4.204407599987462,,,,,,,,,,,,,4.200872299959883,4.204407599987462,5.194086799980141,5.194134599994868,5.210586299945135,5.693807799951173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
fight,1,1,0,,,,,,,,,0,1,1,7,,,,,,,,,,,,,5.710696099966299,,,,,,,,,,,,,5.696399099950213,5.710696099966299,6.694561299984343,6.694633699953556,6.710668499988969,7.194086299976334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
wrath,2,2,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,7.210678899951745,,,,,,,,,,,,,7.197425099962857,7.210678899951745,8.194795899966266,8.194864499964751,8.21073129994329,8.694264699995983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
rage,3,3,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,8.710580299957655,,,,,,,,,,,,,8.69652399996994,8.710580299957655,9.69409739994444,9.694149299990386,9.711442499945406,10.19416629994521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
mean,4,4,0,,,,,,,,,0,4,4,8,,,,,,,,,,,,,10.210686899954453,,,,,,,,,,,,,10.19747339998139,10.210686899954453,11.194161399966106,11.194223699974827,11.210603199957404,11.694739799946547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
fear,5,5,0,,,,,,,,,0,5,5,1,,,,,,,,,,,,,11.710258199949749,,,,,,,,,,,,,11.704225999943446,11.710258199949749,12.693803899979685,12.693865299981553,12.710447299992666,13.19515099999262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
mad,6,6,0,,,,,,,,,0,6,6,0,,,,,,,,,,,,,13.211210699984804,,,,,,,,,,,,,13.198754199955147,13.211210699984804,14.197041299950797,14.197145499987528,14.210701399948448,14.694575499976054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
emotion,7,7,0,,,,,,,,,0,7,7,9,,,,,,,,,,,,,14.710617499949876,,,,,,,,,,,,,14.699338599981274,14.710617499949876,15.693550999974832,15.693588599970099,15.710051099944394,16.194027699995786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
fury,8,8,0,,,,,,,,,0,8,8,5,,,,,,,,,,,,,16.210253799974453,,,,,,,,,,,,,16.19606979994569,16.210253799974453,17.19429949996993,17.194468899979256,17.210710599960294,17.694043799943756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
temper,9,9,0,,,,,,,,,0,9,9,4,,,,,,,,,,,,,17.71042859996669,,,,,,,,,,,,,17.697928299952764,17.71042859996669,18.695263499976136,18.695342699997127,18.711907499993686,19.193947099964134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
,0,0,0,weather,,,,,,,,,,,,0,0,0,8,,,,,,,,,19.22923269995954,,,,,,,,,,,,,,,,20.194090299948584,20.210064599988982,20.694642299960833,19.226256599999033,19.22923269995954,20.19403809995856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
,1,1,0,freeze,,,,,,,,,,,,0,1,1,6,,,,,,,,,20.71036849997472,,,,,,,,,,,,,,,,21.693717999965884,21.71033669996541,22.1937414999702,20.700926299963612,20.71036849997472,21.693675799993798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-20_09h37.06.158,solo_project_drm,,2025.1.1,60.07272403400143,2025-11-20 09h37.12.108989 +0530,
