pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7694328999932623,None,0,0,0,0,,,,,0.011348799991537817,,0.007985599993844517,0.011348799991537817,1.0087055999902077,1.0087055999902077,1.0087055999902077,1.0087055999902077,1.024951500003226,2.0083798999985447,2.0083798999985447,2.802413500001421,x,1,0.7694328999932623,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
150,v,1,1,0,v,1,0.7524409999896307,None,0,1,1,1,,,,,2.8080409999965923,,2.802841600001557,2.8080409999965923,3.8083633999922313,3.8083633999922313,3.8083633999922313,3.8083633999922313,3.8083633999922313,4.808594000001904,4.808594000001904,5.577048199993442,v,1,0.7524409999896307,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
50,c,2,2,0,c,1,0.9343726999941282,None,0,2,2,2,,,,,5.591697900003055,,5.577534399999422,5.591697900003055,6.591911800001981,6.591911800001981,6.591911800001981,6.591911800001981,6.591911800001981,7.592134499995154,7.592134499995154,8.544547199999215,c,1,0.9343726999941282,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
-150,z,3,3,0,z,1,0.869642699995893,None,0,3,3,3,,,,,8.558905300000333,,8.545033499991405,8.558905300000333,9.558439200001885,9.558439200001885,9.558439200001885,9.558439200001885,9.558439200001885,10.558551900001476,10.558551900001476,11.44461869999941,z,1,0.869642699995893,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
-50,x,4,0,1,x,1,0.8005225999950198,None,1,0,4,0,,,,,11.458398499991745,,11.445100700002513,11.458398499991745,12.458016199991107,12.458016199991107,12.458016199991107,12.458016199991107,12.458016199991107,13.458436200002325,13.458436200002325,14.261741900001653,x,1,0.8005225999950198,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
150,v,5,1,1,v,1,0.927580499992473,None,1,1,5,1,,,,,14.274716300002183,,14.26247859999421,14.274716300002183,15.274826799999573,15.274826799999573,15.274826799999573,15.274826799999573,15.274826799999573,16.275110200003837,16.275110200003837,17.211740500002634,v,1,0.927580499992473,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
50,c,6,2,1,c,1,0.8639046999887796,None,1,2,6,2,,,,,17.22482499999751,,17.21222279999347,17.22482499999751,18.224595699997735,18.224595699997735,18.224595699997735,18.224595699997735,18.224595699997735,19.224836399997002,19.224836399997002,20.093704300001264,c,1,0.8639046999887796,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
-150,z,7,3,1,z,1,0.5728918999957386,None,1,3,7,3,,,,,20.10852320000413,,20.094128299999284,20.10852320000413,21.10831419999886,21.10831419999886,21.10831419999886,21.10831419999886,21.10831419999886,22.108531199992285,22.108531199992285,22.6948715000035,z,1,0.5728918999957386,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
-50,x,8,0,2,x,1,0.5438078000006499,None,2,0,8,0,,,,,22.708495400001993,,22.695327099994756,22.708495400001993,23.708348699990893,23.708348699990893,23.708348699990893,23.708348699990893,23.708348699990893,24.70806989999255,24.70806989999255,25.260292399994796,x,1,0.5438078000006499,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
150,v,9,1,2,v,1,0.8452299000055064,None,2,1,9,1,,,,,25.274746900002356,,25.26069139999163,25.274746900002356,26.275124699997832,26.275124699997832,26.275124699997832,26.275124699997832,26.275124699997832,27.27467759999854,27.27467759999854,28.127495499997167,v,1,0.8452299000055064,None,,,,,participant2,001,2025-10-04_21h50.26.146,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.05122369236263,2025-10-04 21h50.50.571633 +0530,
